ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL,TRUE,Min_IH,Prediction,Selected,Accuracy,Oracle_view
0 (0.08),0 (0.36),0 (0.12),0 (0.08),0 (0.24),0 (0.2),0 (0.12),0 (0.44),0 (0.56),0 (0.04),0 (0.04),0 (0.12),0 (0.08),0 (0.0),0 (0.0),0,"LLAMA3,MISTRAL","(0, 0)",LLAMA3,TRUE,TRUE
0 (0.04),0 (0.16),0 (0.08),0 (0.2),0 (0.2),0 (0.04),0 (0.28),0 (0.36),0 (0.52),0 (0.0),0 (0.44),0 (0.44),0 (0.16),0 (0.24),0 (0.16),0,LLAMA,"(0,)",LLAMA,TRUE,TRUE
0 (0.0),0 (0.28),0 (0.36),0 (0.0),0 (0.16),0 (0.04),0 (0.2),0 (0.04),0 (0.08),0 (0.0),0 (0.44),0 (0.0),0 (0.16),0 (0.12),0 (0.32),0,"ALBERT,DistilBERT,LLAMA,W2V","(0, 0, 0, 0)",ALBERT,TRUE,TRUE
1 (0.28),0 (0.52),0 (0.2),0 (0.16),0 (0.44),0 (0.2),0 (0.12),0 (0.2),0 (0.44),0 (0.04),0 (0.28),1 (0.2),1 (0.04),0 (0.4),0 (0.2),0,"LLAMA,XLNET","(0, 1)",LLAMA,TRUE,TRUE
1 (0.36),0 (0.12),1 (0.0),1 (0.08),1 (0.52),1 (0.24),1 (0.0),1 (0.04),1 (0.16),1 (0.0),1 (0.04),1 (0.0),1 (0.04),1 (0.0),1 (0.0),1,"BERT,Falcon,LLAMA,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1)",BERT,TRUE,TRUE
0 (0.56),1 (0.24),0 (0.12),0 (0.04),1 (0.28),0 (0.12),0 (0.12),0 (0.28),0 (0.2),0 (0.28),0 (0.2),0 (0.08),0 (0.2),0 (0.2),0 (0.0),0,MISTRAL,"(0,)",MISTRAL,TRUE,TRUE
0 (0.08),0 (0.2),0 (0.0),0 (0.28),0 (0.28),0 (0.04),0 (0.04),0 (0.04),0 (0.12),0 (0.0),0 (0.0),0 (0.0),0 (0.08),0 (0.2),0 (0.04),0,"BERT,LLAMA,RoBERTa,W2V","(0, 0, 0, 0)",BERT,TRUE,TRUE
1 (0.08),1 (0.36),1 (0.04),1 (0.0),1 (0.52),1 (0.12),1 (0.12),1 (0.08),1 (0.36),1 (0.28),1 (0.24),1 (0.32),1 (0.28),1 (0.04),1 (0.16),1,DistilBERT,"(1,)",DistilBERT,TRUE,TRUE
0 (0.36),0 (0.52),0 (0.56),0 (0.2),0 (0.32),0 (0.12),0 (0.0),0 (0.16),0 (0.12),0 (0.0),0 (0.16),0 (0.08),0 (0.24),0 (0.0),0 (0.0),0,"Falcon,LLAMA,LLAMA3,MISTRAL","(0, 0, 0, 0)",Falcon,TRUE,TRUE
1 (0.2),0 (0.36),1 (0.08),1 (0.04),0 (0.28),1 (0.04),1 (0.0),0 (0.36),0 (0.4),1 (0.0),1 (0.2),1 (0.16),0 (0.32),1 (0.2),1 (0.0),1,"Falcon,LLAMA,MISTRAL","(1, 1, 1)",Falcon,TRUE,TRUE
1 (0.52),0 (0.44),1 (0.0),1 (0.24),0 (0.44),1 (0.16),1 (0.0),1 (0.36),0 (0.32),1 (0.0),1 (0.08),1 (0.12),1 (0.28),0 (0.0),1 (0.0),1,"BERT,Falcon,LLAMA,LLAMA3,MISTRAL","(1, 1, 1, 0, 1)",BERT,TRUE,TRUE
0 (0.12),0 (0.24),0 (0.28),0 (0.28),0 (0.44),1 (0.16),0 (0.0),0 (0.32),0 (0.48),0 (0.52),0 (0.04),0 (0.28),0 (0.16),0 (0.16),0 (0.12),0,Falcon,"(0,)",Falcon,TRUE,TRUE
1 (0.04),1 (0.44),1 (0.04),1 (0.04),1 (0.08),1 (0.0),1 (0.0),1 (0.16),1 (0.08),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ELMO,Falcon,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1, 1)",ELMO,TRUE,TRUE
1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",ALBERT,TRUE,TRUE
1 (0.04),1 (0.52),1 (0.0),1 (0.0),1 (0.04),1 (0.44),1 (0.12),1 (0.24),1 (0.0),1 (0.0),1 (0.2),1 (0.04),1 (0.68),1 (0.28),1 (0.24),1,"BERT,DistilBERT,Glove,LLAMA","(1, 1, 1, 1)",BERT,TRUE,TRUE
0 (0.04),0 (0.44),0 (0.36),0 (0.24),0 (0.08),0 (0.12),0 (0.2),0 (0.04),0 (0.36),0 (0.2),0 (0.4),0 (0.12),0 (0.24),0 (0.4),0 (0.0),0,MISTRAL,"(0,)",MISTRAL,TRUE,TRUE
0 (0.24),0 (0.12),1 (0.28),0 (0.24),0 (0.48),1 (0.32),0 (0.44),1 (0.48),1 (0.32),1 (0.2),0 (0.0),1 (0.44),0 (0.36),1 (0.08),1 (0.28),0,RoBERTa,"(0,)",RoBERTa,TRUE,TRUE
0 (0.24),0 (0.44),0 (0.0),0 (0.04),0 (0.24),0 (0.0),0 (0.0),0 (0.08),0 (0.24),0 (0.04),0 (0.0),0 (0.0),0 (0.56),0 (0.0),0 (0.0),0,"BERT,ELMO,Falcon,RoBERTa,W2V,LLAMA3,MISTRAL","(0, 0, 0, 0, 0, 0, 0)",BERT,TRUE,TRUE
1 (0.0),1 (0.4),1 (0.16),1 (0.0),1 (0.28),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.16),1 (0.0),1 (0.36),1 (0.0),1 (0.0),1,"ALBERT,DistilBERT,ELMO,Falcon,Fasttext,Glove,LLAMA,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",ALBERT,TRUE,TRUE
1 (0.56),1 (0.28),1 (0.24),1 (0.04),0 (0.28),1 (0.36),0 (0.08),1 (0.12),1 (0.0),1 (0.16),1 (0.12),1 (0.12),0 (0.28),1 (0.32),1 (0.36),1,Glove,"(1,)",Glove,TRUE,TRUE
1 (0.08),1 (0.2),1 (0.04),1 (0.04),1 (0.0),1 (0.08),1 (0.0),1 (0.0),1 (0.44),1 (0.0),1 (0.16),1 (0.2),1 (0.24),1 (0.0),1 (0.0),1,"ELECTRA,Falcon,Fasttext,LLAMA,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1)",ELECTRA,TRUE,TRUE
1 (0.32),0 (0.32),0 (0.2),0 (0.4),0 (0.08),0 (0.04),0 (0.04),0 (0.28),0 (0.04),0 (0.0),0 (0.0),0 (0.04),0 (0.12),0 (0.0),0 (0.16),0,"LLAMA,RoBERTa,LLAMA3","(0, 0, 0)",LLAMA,TRUE,TRUE
0 (0.2),0 (0.56),0 (0.2),0 (0.36),0 (0.28),0 (0.0),0 (0.24),0 (0.04),0 (0.0),0 (0.32),0 (0.52),1 (0.0),0 (0.48),0 (0.24),0 (0.08),1,"ELMO,Glove,W2V","(0, 0, 1)",W2V,TRUE,TRUE
1 (0.16),0 (0.32),0 (0.0),1 (0.2),0 (0.24),0 (0.44),1 (0.0),1 (0.12),1 (0.12),0 (0.28),1 (0.32),1 (0.16),1 (0.48),1 (0.08),0 (0.08),0,"BERT,Falcon","(0, 1)",BERT,TRUE,TRUE
0 (0.08),0 (0.36),0 (0.04),0 (0.0),0 (0.4),0 (0.0),0 (0.0),0 (0.28),0 (0.08),0 (0.0),0 (0.28),0 (0.12),0 (0.12),0 (0.0),0 (0.0),0,"DistilBERT,ELMO,Falcon,LLAMA,LLAMA3,MISTRAL","(0, 0, 0, 0, 0, 0)",DistilBERT,TRUE,TRUE
0 (0.16),0 (0.36),0 (0.08),0 (0.32),1 (0.2),0 (0.44),1 (0.12),0 (0.08),0 (0.2),0 (0.4),1 (0.28),1 (0.2),0 (0.16),0 (0.6),1 (0.2),1,"BERT,Fasttext","(0, 0)",Fasttext,FALSE,TRUE
1 (0.28),1 (0.32),1 (0.04),1 (0.04),1 (0.4),1 (0.0),1 (0.08),1 (0.2),1 (0.24),1 (0.04),1 (0.32),1 (0.0),1 (0.16),1 (0.0),1 (0.0),1,"ELMO,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1)",ELMO,TRUE,TRUE
1 (0.04),1 (0.36),1 (0.0),1 (0.0),1 (0.4),1 (0.0),1 (0.0),1 (0.04),1 (0.04),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"BERT,DistilBERT,ELMO,Falcon,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",BERT,TRUE,TRUE
0 (0.24),0 (0.48),0 (0.36),0 (0.24),0 (0.24),0 (0.0),0 (0.16),0 (0.32),0 (0.4),0 (0.32),0 (0.12),0 (0.4),0 (0.44),0 (0.12),0 (0.2),0,ELMO,"(0,)",ELMO,TRUE,TRUE
1 (0.0),1 (0.2),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.04),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",ALBERT,TRUE,TRUE
0 (0.12),0 (0.4),0 (0.08),0 (0.04),0 (0.28),0 (0.44),0 (0.2),0 (0.4),0 (0.32),0 (0.08),0 (0.28),0 (0.32),0 (0.48),0 (0.16),0 (0.04),1,"DistilBERT,MISTRAL","(0, 0)",MISTRAL,FALSE,FALSE
0 (0.48),0 (0.36),1 (0.32),0 (0.36),1 (0.4),1 (0.2),0 (0.2),1 (0.24),1 (0.2),0 (0.56),1 (0.44),1 (0.36),1 (0.48),0 (0.16),1 (0.24),1,LLAMA3,"(0,)",LLAMA3,FALSE,TRUE
0 (0.16),0 (0.32),0 (0.08),0 (0.52),0 (0.04),0 (0.28),0 (0.12),0 (0.48),0 (0.4),0 (0.0),0 (0.08),0 (0.44),1 (0.4),0 (0.04),0 (0.0),0,"LLAMA,MISTRAL","(0, 0)",LLAMA,TRUE,TRUE
1 (0.32),1 (0.04),1 (0.24),1 (0.12),1 (0.0),1 (0.32),1 (0.04),1 (0.08),1 (0.12),1 (0.0),1 (0.32),1 (0.2),1 (0.48),1 (0.04),1 (0.04),1,"ELECTRA,LLAMA","(1, 1)",ELECTRA,TRUE,TRUE
0 (0.16),0 (0.36),0 (0.04),0 (0.0),0 (0.24),0 (0.24),0 (0.08),0 (0.08),0 (0.44),0 (0.08),0 (0.16),0 (0.0),0 (0.12),0 (0.2),0 (0.04),0,"DistilBERT,W2V","(0, 0)",DistilBERT,TRUE,TRUE
0 (0.24),1 (0.48),0 (0.4),0 (0.08),0 (0.36),0 (0.04),0 (0.04),0 (0.32),1 (0.04),0 (0.2),1 (0.08),1 (0.24),0 (0.28),0 (0.08),0 (0.2),0,"ELMO,Falcon,Glove","(0, 0, 1)",ELMO,TRUE,TRUE
1 (0.0),1 (0.16),1 (0.0),1 (0.0),1 (0.0),1 (0.16),1 (0.0),1 (0.0),1 (0.16),1 (0.0),1 (0.0),1 (0.0),1 (0.24),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELECTRA,Falcon,Fasttext,LLAMA,RoBERTa,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",ALBERT,TRUE,TRUE
0 (0.12),0 (0.44),0 (0.16),0 (0.08),0 (0.2),0 (0.64),0 (0.16),0 (0.32),0 (0.28),0 (0.16),0 (0.24),0 (0.32),0 (0.24),0 (0.24),0 (0.08),0,"DistilBERT,MISTRAL","(0, 0)",DistilBERT,TRUE,TRUE
1 (0.0),1 (0.52),1 (0.0),1 (0.0),1 (0.0),1 (0.44),1 (0.0),1 (0.08),1 (0.08),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELECTRA,Falcon,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",ALBERT,TRUE,TRUE
1 (0.04),1 (0.32),1 (0.16),1 (0.08),1 (0.0),1 (0.12),1 (0.0),1 (0.08),1 (0.04),1 (0.0),1 (0.4),1 (0.08),1 (0.44),1 (0.0),1 (0.0),1,"ELECTRA,Falcon,LLAMA,LLAMA3,MISTRAL","(1, 1, 1, 1, 1)",ELECTRA,TRUE,TRUE
0 (0.28),0 (0.16),0 (0.12),0 (0.28),0 (0.2),0 (0.24),0 (0.04),0 (0.4),0 (0.0),0 (0.2),0 (0.16),0 (0.08),0 (0.04),0 (0.0),0 (0.0),0,"Glove,LLAMA3,MISTRAL","(0, 0, 0)",Glove,TRUE,TRUE
1 (0.0),1 (0.36),1 (0.0),1 (0.0),1 (0.0),1 (0.08),1 (0.0),1 (0.0),1 (0.24),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELECTRA,Falcon,Fasttext,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",ALBERT,TRUE,TRUE
1 (0.08),1 (0.24),1 (0.04),1 (0.12),1 (0.12),0 (0.16),1 (0.0),1 (0.0),1 (0.0),1 (0.0),0 (0.0),1 (0.0),1 (0.12),1 (0.0),1 (0.0),1,"Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1, 0, 1, 1, 1)",Falcon,TRUE,TRUE
1 (0.36),1 (0.36),1 (0.4),1 (0.28),1 (0.4),1 (0.36),1 (0.28),1 (0.0),0 (0.2),1 (0.12),1 (0.48),1 (0.24),1 (0.16),1 (0.16),1 (0.16),1,Fasttext,"(1,)",Fasttext,TRUE,TRUE
1 (0.0),1 (0.44),0 (0.2),0 (0.0),0 (0.16),0 (0.36),0 (0.04),1 (0.2),0 (0.4),0 (0.0),0 (0.08),1 (0.16),0 (0.28),0 (0.0),0 (0.0),0,"ALBERT,DistilBERT,LLAMA,LLAMA3,MISTRAL","(1, 0, 0, 0, 0)",DistilBERT,TRUE,TRUE
0 (0.24),0 (0.28),0 (0.08),0 (0.48),0 (0.08),0 (0.24),0 (0.04),0 (0.44),0 (0.04),0 (0.0),0 (0.44),0 (0.04),0 (0.0),0 (0.04),0 (0.04),0,"LLAMA,XLNET","(0, 0)",LLAMA,TRUE,TRUE
1 (0.0),1 (0.52),1 (0.0),1 (0.0),1 (0.0),1 (0.16),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELECTRA,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",ALBERT,TRUE,TRUE
1 (0.6),0 (0.44),1 (0.2),1 (0.2),1 (0.28),0 (0.16),1 (0.28),1 (0.4),1 (0.4),1 (0.12),1 (0.08),1 (0.24),1 (0.4),1 (0.2),1 (0.2),1,RoBERTa,"(1,)",RoBERTa,TRUE,TRUE
1 (0.0),1 (0.28),1 (0.0),1 (0.0),1 (0.0),1 (0.24),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELECTRA,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",ALBERT,TRUE,TRUE
0 (0.4),0 (0.48),0 (0.04),0 (0.24),0 (0.4),0 (0.24),0 (0.12),0 (0.16),0 (0.52),0 (0.0),0 (0.2),0 (0.04),0 (0.44),0 (0.24),0 (0.0),0,"LLAMA,MISTRAL","(0, 0)",LLAMA,TRUE,TRUE
1 (0.2),0 (0.24),1 (0.08),1 (0.2),1 (0.36),1 (0.16),1 (0.0),1 (0.04),1 (0.24),1 (0.12),1 (0.36),1 (0.24),1 (0.36),1 (0.16),1 (0.04),1,Falcon,"(1,)",Falcon,TRUE,TRUE
1 (0.08),1 (0.36),1 (0.0),1 (0.36),1 (0.12),1 (0.2),1 (0.0),1 (0.32),1 (0.16),1 (0.04),1 (0.44),1 (0.2),1 (0.24),1 (0.2),1 (0.0),1,"BERT,Falcon,MISTRAL","(1, 1, 1)",BERT,TRUE,TRUE
0 (0.0),0 (0.08),0 (0.0),0 (0.0),0 (0.12),0 (0.16),0 (0.0),0 (0.16),0 (0.12),0 (0.0),0 (0.04),0 (0.0),0 (0.28),0 (0.0),0 (0.04),0,"ALBERT,BERT,DistilBERT,Falcon,LLAMA,W2V,LLAMA3","(0, 0, 0, 0, 0, 0, 0)",ALBERT,TRUE,TRUE
1 (0.48),0 (0.24),1 (0.04),1 (0.04),0 (0.16),1 (0.6),1 (0.0),1 (0.12),1 (0.0),0 (0.12),0 (0.04),1 (0.24),1 (0.44),1 (0.04),1 (0.0),1,"Falcon,Glove,MISTRAL","(1, 1, 1)",Falcon,TRUE,TRUE
1 (0.0),1 (0.68),1 (0.0),1 (0.0),1 (0.0),1 (0.08),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELECTRA,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",ALBERT,TRUE,TRUE
1 (0.0),0 (0.32),0 (0.24),0 (0.48),0 (0.48),0 (0.32),0 (0.0),0 (0.08),0 (0.28),0 (0.04),0 (0.48),0 (0.28),0 (0.28),0 (0.0),0 (0.12),0,"ALBERT,Falcon,LLAMA3","(1, 0, 0)",Falcon,TRUE,TRUE
1 (0.6),0 (0.16),0 (0.36),1 (0.2),1 (0.16),1 (0.32),1 (0.28),1 (0.32),0 (0.48),1 (0.12),1 (0.28),1 (0.04),1 (0.12),1 (0.0),1 (0.48),1,LLAMA3,"(1,)",LLAMA3,TRUE,TRUE
1 (0.12),1 (0.32),1 (0.16),1 (0.0),1 (0.08),1 (0.2),1 (0.0),1 (0.16),1 (0.04),1 (0.0),1 (0.0),1 (0.24),1 (0.12),1 (0.0),1 (0.0),1,"DistilBERT,Falcon,LLAMA,RoBERTa,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1)",DistilBERT,TRUE,TRUE
0 (0.12),0 (0.24),0 (0.0),0 (0.16),0 (0.32),0 (0.32),0 (0.04),0 (0.0),0 (0.0),0 (0.0),0 (0.08),0 (0.0),0 (0.24),0 (0.08),0 (0.0),0,"BERT,Fasttext,Glove,LLAMA,W2V,MISTRAL","(0, 0, 0, 0, 0, 0)",BERT,TRUE,TRUE
0 (0.36),1 (0.08),1 (0.24),1 (0.0),0 (0.2),0 (0.24),1 (0.0),1 (0.12),1 (0.08),1 (0.0),0 (0.0),1 (0.0),1 (0.0),0 (0.04),0 (0.0),0,"DistilBERT,Falcon,LLAMA,RoBERTa,W2V,XLNET,MISTRAL","(1, 1, 1, 0, 1, 1, 0)",RoBERTa,TRUE,TRUE
1 (0.0),0 (0.2),1 (0.04),1 (0.04),1 (0.28),1 (0.08),1 (0.0),1 (0.04),1 (0.2),1 (0.0),1 (0.2),1 (0.0),1 (0.24),1 (0.0),1 (0.0),1,"ALBERT,Falcon,LLAMA,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1)",ALBERT,TRUE,TRUE
1 (0.2),1 (0.48),1 (0.08),1 (0.0),0 (0.08),1 (0.24),1 (0.28),1 (0.32),1 (0.24),1 (0.2),1 (0.08),1 (0.24),1 (0.36),1 (0.08),1 (0.08),1,DistilBERT,"(1,)",DistilBERT,TRUE,TRUE
0 (0.16),0 (0.08),1 (0.0),0 (0.12),0 (0.24),0 (0.28),0 (0.12),0 (0.12),0 (0.2),0 (0.48),1 (0.28),1 (0.36),1 (0.36),0 (0.2),0 (0.24),1,BERT,"(1,)",BERT,TRUE,TRUE
0 (0.4),0 (0.16),1 (0.24),1 (0.32),1 (0.36),0 (0.28),0 (0.48),1 (0.36),0 (0.2),0 (0.28),0 (0.2),1 (0.36),0 (0.16),1 (0.36),1 (0.44),0,"BART,XLNET","(0, 0)",BART,TRUE,TRUE
