ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL,TRUE,Min_IH,Prediction,Selected,Accuracy,Oracle_view
5 (0.76),4 (0.8),3 (0.8),1 (0.88),4 (0.72),5 (0.76),5 (0.72),4 (0.68),1 (0.84),4 (0.72),5 (0.68),4 (0.64),4 (0.92),5 (0.96),5 (0.76),2,W2V,"(4,)",W2V,FALSE,FALSE
0 (0.72),4 (0.8),1 (0.88),1 (0.92),1 (0.84),1 (0.84),1 (0.76),1 (0.76),1 (0.76),1 (0.84),1 (0.68),1 (0.88),1 (0.76),1 (0.68),1 (0.76),1,"RoBERTa,LLAMA3","(1, 1)",RoBERTa,TRUE,TRUE
4 (0.96),4 (0.72),3 (0.92),4 (0.72),4 (0.84),4 (0.64),4 (0.84),3 (0.72),3 (0.72),4 (0.88),4 (0.92),4 (0.72),3 (0.88),4 (0.84),4 (0.84),5,ELMO,"(4,)",ELMO,FALSE,FALSE
2 (0.92),3 (0.84),0 (0.76),1 (0.72),5 (0.8),2 (0.76),1 (0.96),1 (0.88),1 (0.84),1 (0.8),1 (0.88),2 (0.84),2 (0.8),3 (0.76),1 (0.76),1,DistilBERT,"(1,)",DistilBERT,TRUE,TRUE
1 (0.84),1 (0.84),4 (0.88),4 (0.72),2 (0.84),2 (0.88),1 (0.88),1 (0.8),1 (0.8),1 (0.92),1 (0.88),3 (0.92),3 (0.76),1 (0.88),2 (0.84),2,DistilBERT,"(4,)",DistilBERT,FALSE,TRUE
1 (0.84),5 (0.8),1 (0.8),0 (0.72),1 (0.76),1 (0.72),2 (0.76),1 (0.72),1 (0.76),2 (0.96),1 (0.72),1 (0.72),1 (0.76),1 (0.84),1 (0.92),5,"DistilBERT,ELMO,Fasttext,RoBERTa,W2V","(0, 1, 1, 1, 1)",Fasttext,FALSE,TRUE
1 (0.8),0 (0.96),1 (0.76),1 (0.76),1 (0.92),0 (0.76),1 (0.92),0 (0.76),1 (0.8),2 (0.92),4 (0.76),1 (0.8),2 (0.84),1 (0.8),1 (0.92),4,"BERT,DistilBERT,ELMO,Fasttext,RoBERTa","(1, 1, 0, 0, 4)",RoBERTa,TRUE,TRUE
3 (0.8),2 (0.84),1 (1.0),3 (0.84),1 (0.8),3 (0.88),3 (0.92),3 (0.88),1 (0.6),3 (0.8),3 (0.6),1 (0.84),1 (0.84),1 (0.8),1 (0.92),3,"Glove,RoBERTa","(1, 3)",RoBERTa,TRUE,TRUE
1 (0.88),3 (0.88),3 (0.8),3 (0.72),3 (0.8),2 (0.8),3 (0.8),4 (0.68),1 (0.8),3 (0.8),1 (0.88),1 (0.92),3 (0.96),1 (0.8),1 (0.8),4,Fasttext,"(4,)",Fasttext,TRUE,TRUE
2 (0.84),2 (0.72),1 (0.88),1 (0.84),3 (0.84),1 (0.92),4 (0.84),3 (0.96),1 (0.84),2 (0.68),3 (0.8),4 (0.88),3 (0.88),1 (0.84),2 (0.68),5,"LLAMA,MISTRAL","(2, 2)",LLAMA,FALSE,FALSE
1 (0.84),3 (0.8),1 (0.76),1 (0.8),3 (0.96),1 (0.88),1 (0.72),3 (0.88),1 (0.72),1 (0.84),1 (0.8),1 (0.76),0 (0.76),1 (0.8),1 (0.84),5,"Falcon,Glove","(1, 1)",Glove,FALSE,FALSE
2 (0.92),1 (0.76),3 (0.64),1 (0.84),1 (0.76),1 (0.88),1 (0.88),1 (0.84),1 (0.64),1 (0.76),1 (0.88),1 (0.68),4 (0.88),1 (0.92),1 (0.68),3,"BERT,Glove","(3, 1)",BERT,TRUE,TRUE
3 (0.8),1 (0.92),3 (0.32),4 (0.44),4 (0.84),4 (0.68),4 (0.56),4 (0.84),3 (0.76),1 (0.68),4 (0.8),4 (0.8),4 (0.8),4 (0.72),4 (0.84),5,BERT,"(3,)",BERT,FALSE,FALSE
1 (0.92),4 (0.76),1 (0.92),0 (0.76),3 (0.76),1 (0.88),0 (0.8),1 (0.8),1 (0.92),1 (0.84),1 (0.76),1 (0.76),1 (0.96),1 (0.76),1 (0.84),0,"BART,DistilBERT,ELECTRA,RoBERTa,W2V,LLAMA3","(4, 0, 3, 1, 1, 1)",DistilBERT,TRUE,TRUE
1 (0.84),4 (0.88),3 (0.84),3 (0.88),1 (0.84),1 (0.8),4 (0.8),1 (0.92),1 (0.84),3 (0.88),3 (0.76),4 (0.84),4 (0.72),4 (0.84),3 (0.88),5,XLNET,"(4,)",XLNET,FALSE,FALSE
1 (0.72),3 (0.72),3 (0.6),3 (0.92),1 (0.76),1 (0.76),1 (0.64),1 (0.88),3 (0.84),1 (0.88),3 (0.96),3 (0.76),3 (0.84),1 (0.88),1 (0.84),2,BERT,"(3,)",BERT,FALSE,FALSE
1 (0.96),3 (0.68),0 (0.88),1 (0.72),4 (0.76),1 (0.76),0 (0.76),0 (0.88),1 (0.84),0 (0.6),0 (0.88),0 (0.88),0 (0.84),0 (0.88),0 (0.92),3,LLAMA,"(0,)",LLAMA,FALSE,TRUE
1 (0.72),1 (0.56),5 (0.8),1 (0.8),3 (0.72),1 (0.76),3 (0.72),3 (0.76),3 (0.84),1 (0.96),1 (0.96),1 (0.64),1 (0.84),1 (0.72),3 (0.8),0,BART,"(1,)",BART,FALSE,FALSE
4 (0.88),4 (0.76),3 (0.88),3 (0.76),1 (0.8),3 (0.84),3 (0.64),3 (0.92),3 (0.64),3 (0.84),2 (0.84),4 (0.8),3 (0.76),4 (0.76),1 (0.64),2,"Falcon,Glove,MISTRAL","(3, 3, 1)",Falcon,FALSE,TRUE
2 (0.96),1 (0.76),3 (0.72),3 (0.72),1 (0.8),3 (0.84),3 (0.72),3 (0.88),3 (0.76),3 (0.76),3 (0.72),1 (0.76),3 (0.72),2 (0.84),3 (0.76),2,"BERT,DistilBERT,Falcon,RoBERTa,XLNET","(3, 3, 3, 3, 3)",Falcon,FALSE,TRUE
1 (0.84),1 (0.8),1 (0.8),3 (0.92),4 (0.96),0 (0.8),0 (0.88),1 (0.8),1 (0.76),1 (0.8),1 (0.64),0 (0.8),1 (0.8),1 (0.88),1 (0.84),2,RoBERTa,"(1,)",RoBERTa,FALSE,FALSE
1 (0.92),1 (0.84),3 (0.8),1 (0.88),2 (0.72),1 (0.8),0 (0.72),1 (0.76),1 (0.72),1 (0.84),1 (0.96),1 (0.76),0 (0.72),1 (0.84),3 (0.72),2,"ELECTRA,Falcon,Glove,XLNET,MISTRAL","(2, 0, 1, 0, 3)",ELECTRA,TRUE,TRUE
2 (0.52),2 (0.84),3 (0.84),2 (0.64),1 (0.64),3 (0.52),3 (0.64),3 (0.8),1 (0.64),3 (0.8),2 (0.68),2 (0.68),3 (0.8),2 (0.6),2 (0.68),2,"ALBERT,ELMO","(2, 3)",ALBERT,TRUE,TRUE
3 (0.52),3 (0.76),3 (0.88),3 (0.8),1 (0.8),4 (0.76),3 (0.64),4 (0.6),4 (0.84),3 (0.8),1 (0.72),3 (0.84),3 (0.92),1 (0.52),3 (0.76),3,"ALBERT,LLAMA3","(3, 1)",ALBERT,TRUE,TRUE
4 (0.84),0 (0.76),2 (0.72),0 (0.92),3 (0.72),1 (0.84),1 (0.84),1 (0.72),1 (0.92),4 (0.8),4 (0.72),0 (0.84),4 (0.8),4 (0.84),4 (0.8),1,"BERT,ELECTRA,Fasttext,RoBERTa","(2, 3, 1, 4)",Fasttext,TRUE,TRUE
1 (0.92),1 (0.8),0 (0.76),0 (0.88),0 (0.84),0 (0.92),0 (0.72),0 (0.92),1 (0.76),1 (0.92),1 (0.76),1 (0.84),1 (0.8),1 (0.92),1 (0.76),0,Falcon,"(0,)",Falcon,TRUE,TRUE
1 (0.72),3 (0.76),1 (0.84),1 (0.84),1 (0.72),1 (0.88),1 (0.76),3 (0.88),1 (0.84),1 (0.92),0 (0.72),5 (0.88),1 (0.88),5 (0.72),0 (0.92),3,"ALBERT,ELECTRA,RoBERTa,LLAMA3","(1, 1, 0, 5)",ELECTRA,FALSE,TRUE
3 (0.8),3 (0.8),5 (0.84),3 (0.88),4 (0.8),5 (0.84),1 (0.76),4 (0.84),4 (0.8),3 (0.92),3 (0.72),4 (0.8),4 (0.72),4 (0.8),4 (0.8),3,"RoBERTa,XLNET","(3, 4)",RoBERTa,TRUE,TRUE
3 (0.56),4 (0.8),1 (0.8),4 (0.8),4 (0.84),4 (0.72),4 (0.8),5 (0.84),5 (0.72),4 (0.68),4 (0.72),3 (0.88),1 (0.88),4 (0.76),4 (0.68),4,ALBERT,"(3,)",ALBERT,FALSE,TRUE
1 (0.64),3 (0.96),3 (0.68),4 (0.68),1 (0.76),2 (0.76),2 (0.52),1 (0.76),1 (0.76),3 (0.64),3 (0.92),3 (0.76),1 (0.84),2 (0.52),2 (0.6),2,"Falcon,LLAMA3","(2, 2)",Falcon,TRUE,TRUE
3 (0.64),1 (0.76),2 (0.56),1 (0.8),1 (0.88),1 (0.56),1 (0.84),3 (0.8),1 (0.84),1 (1.0),1 (0.84),3 (0.84),4 (0.92),1 (0.8),1 (0.84),2,"BERT,ELMO","(2, 1)",BERT,TRUE,TRUE
4 (0.92),3 (0.72),4 (0.8),4 (0.64),3 (0.64),4 (0.8),4 (0.72),4 (0.84),4 (0.8),3 (0.92),4 (0.84),4 (0.68),4 (0.8),4 (0.8),4 (0.68),3,"DistilBERT,ELECTRA","(4, 3)",ELECTRA,TRUE,TRUE
3 (0.84),3 (0.8),4 (0.88),2 (0.8),3 (0.72),4 (0.84),2 (0.8),4 (0.8),2 (0.76),3 (0.68),3 (0.64),4 (0.64),1 (0.88),3 (0.92),1 (0.84),3,"RoBERTa,W2V","(3, 4)",RoBERTa,TRUE,TRUE
1 (0.84),1 (0.84),3 (0.72),3 (0.64),1 (0.8),1 (0.84),3 (0.76),4 (0.84),3 (0.92),1 (0.76),3 (0.8),1 (0.68),3 (0.72),1 (0.68),1 (0.64),0,"DistilBERT,MISTRAL","(3, 1)",MISTRAL,FALSE,FALSE
2 (0.88),1 (0.84),4 (0.88),1 (0.8),1 (0.96),2 (0.84),1 (0.76),1 (0.72),1 (0.88),1 (0.8),1 (0.8),1 (0.92),3 (0.76),1 (0.76),1 (0.84),2,Fasttext,"(1,)",Fasttext,FALSE,TRUE
5 (0.92),1 (0.92),4 (0.76),1 (0.56),1 (0.76),1 (0.68),1 (0.92),1 (0.88),1 (0.68),1 (0.88),2 (0.88),1 (0.64),1 (0.76),4 (0.76),1 (0.8),1,DistilBERT,"(1,)",DistilBERT,TRUE,TRUE
0 (0.8),1 (0.84),3 (0.72),0 (0.68),5 (0.76),1 (0.52),4 (0.8),1 (0.72),3 (0.84),3 (0.92),4 (0.84),1 (0.76),2 (0.52),3 (0.92),4 (0.84),1,"ELMO,XLNET","(1, 2)",ELMO,TRUE,TRUE
3 (0.8),1 (0.88),1 (0.8),0 (0.72),0 (0.76),2 (0.84),2 (0.76),1 (0.64),1 (0.84),0 (0.68),3 (0.76),3 (0.92),0 (0.64),0 (0.8),0 (0.68),0,"Fasttext,XLNET","(1, 0)",XLNET,TRUE,TRUE
1 (0.88),1 (0.76),1 (1.0),3 (0.88),3 (0.84),1 (0.88),1 (0.96),1 (0.64),1 (0.68),1 (0.84),0 (0.72),1 (0.84),3 (0.88),0 (0.8),0 (0.88),1,Fasttext,"(1,)",Fasttext,TRUE,TRUE
3 (0.8),3 (0.76),3 (0.64),4 (0.68),4 (0.84),3 (0.72),4 (0.68),3 (0.76),1 (0.76),3 (0.64),3 (0.72),5 (0.64),2 (0.84),3 (0.72),4 (0.64),2,"BERT,LLAMA,W2V,MISTRAL","(3, 3, 5, 4)",BERT,FALSE,TRUE
4 (0.92),1 (0.8),5 (0.88),3 (0.84),1 (0.88),5 (0.76),2 (0.8),1 (0.84),3 (0.84),2 (0.8),2 (1.0),5 (0.92),3 (0.8),5 (0.76),5 (0.8),5,"ELMO,LLAMA3","(5, 5)",ELMO,TRUE,TRUE
0 (0.8),1 (0.76),4 (0.88),4 (0.8),3 (0.8),4 (0.56),4 (0.76),3 (0.76),3 (0.8),5 (0.88),4 (0.84),3 (0.8),5 (0.8),4 (0.68),5 (0.52),5,MISTRAL,"(5,)",MISTRAL,TRUE,TRUE
0 (0.76),1 (0.8),4 (0.76),4 (0.68),4 (0.84),4 (0.96),4 (0.68),3 (0.76),4 (0.8),1 (0.88),3 (0.84),5 (0.84),3 (0.88),2 (0.8),4 (0.92),4,"DistilBERT,Falcon","(4, 4)",DistilBERT,TRUE,TRUE
3 (0.76),4 (0.88),0 (0.72),1 (0.8),3 (0.72),2 (0.84),2 (0.92),3 (0.72),3 (0.8),3 (0.72),2 (0.76),3 (0.68),0 (0.84),2 (0.84),2 (0.88),3,W2V,"(3,)",W2V,TRUE,TRUE
1 (0.88),1 (0.8),3 (0.6),3 (0.8),0 (0.76),1 (0.76),3 (0.76),3 (0.68),1 (0.72),3 (0.6),1 (0.8),2 (0.64),1 (0.6),3 (0.72),4 (0.72),3,"BERT,LLAMA,XLNET","(3, 3, 1)",BERT,TRUE,TRUE
1 (0.8),1 (0.56),3 (0.8),1 (0.72),2 (0.72),1 (0.84),2 (0.76),1 (0.8),1 (0.8),0 (0.72),1 (0.8),1 (0.84),1 (0.84),2 (0.76),2 (0.68),4,BART,"(1,)",BART,FALSE,FALSE
3 (0.8),3 (0.88),3 (0.72),3 (0.84),2 (0.92),4 (0.8),3 (0.52),4 (0.68),4 (0.76),4 (0.8),3 (0.52),4 (0.72),2 (0.76),3 (0.76),3 (0.68),1,"Falcon,RoBERTa","(3, 3)",Falcon,FALSE,FALSE
4 (0.68),3 (0.68),4 (0.88),1 (0.84),4 (0.72),4 (0.68),4 (0.56),4 (0.92),4 (0.88),4 (0.88),3 (0.84),3 (0.68),3 (0.76),4 (0.72),4 (0.64),4,Falcon,"(4,)",Falcon,TRUE,TRUE
3 (0.84),3 (0.8),4 (0.96),1 (0.72),5 (0.76),1 (0.8),1 (0.88),1 (0.84),3 (0.8),1 (0.88),1 (0.6),1 (0.76),5 (0.92),1 (0.92),1 (0.76),0,RoBERTa,"(1,)",RoBERTa,FALSE,FALSE
4 (0.76),3 (0.72),3 (0.64),3 (0.92),3 (0.64),3 (0.84),3 (0.88),4 (0.8),3 (0.68),3 (0.76),3 (0.76),3 (0.72),3 (0.84),3 (0.8),3 (0.88),4,"BERT,ELECTRA","(3, 3)",BERT,FALSE,TRUE
2 (0.72),3 (0.68),4 (0.84),3 (0.8),4 (0.8),5 (0.8),3 (0.92),4 (0.68),4 (0.88),3 (0.76),3 (0.76),3 (0.8),4 (0.88),4 (0.84),2 (0.72),4,"BART,Fasttext","(3, 4)",Fasttext,TRUE,TRUE
1 (0.72),1 (0.84),5 (0.64),5 (0.88),1 (0.88),1 (0.64),3 (0.68),1 (0.64),1 (0.84),2 (0.76),1 (0.88),0 (0.76),2 (0.8),1 (0.88),1 (0.92),5,"BERT,ELMO,Fasttext","(5, 1, 1)",BERT,TRUE,TRUE
0 (0.88),3 (0.8),1 (0.92),3 (0.84),1 (0.88),3 (0.76),5 (0.72),4 (0.88),3 (0.72),1 (0.8),1 (0.84),1 (0.92),3 (0.84),3 (0.8),1 (0.88),5,"Falcon,Glove","(5, 3)",Falcon,TRUE,TRUE
1 (0.8),1 (0.92),0 (0.84),1 (0.8),1 (0.84),2 (0.8),5 (0.72),4 (0.76),1 (0.84),1 (0.88),5 (0.76),2 (0.88),4 (0.88),1 (0.8),1 (0.72),5,"Falcon,MISTRAL","(5, 1)",Falcon,TRUE,TRUE
4 (0.88),3 (0.92),4 (0.72),1 (0.76),1 (0.84),5 (0.88),3 (0.88),3 (0.72),4 (0.84),3 (0.76),3 (0.8),1 (0.88),1 (0.88),3 (0.88),3 (0.64),3,MISTRAL,"(3,)",MISTRAL,TRUE,TRUE
3 (0.84),0 (0.88),3 (0.76),3 (0.8),1 (0.88),3 (0.8),2 (0.76),3 (0.88),1 (0.88),2 (0.76),2 (0.88),2 (0.76),3 (0.84),2 (0.88),3 (0.88),5,"BERT,Falcon,LLAMA,W2V","(3, 2, 2, 2)",Falcon,FALSE,FALSE
4 (0.68),4 (0.92),4 (0.92),5 (0.84),3 (0.8),5 (1.0),3 (0.88),4 (0.68),5 (0.72),2 (0.84),2 (0.84),4 (0.84),4 (0.92),4 (0.84),5 (0.88),5,"ALBERT,Fasttext","(4, 4)",ALBERT,FALSE,TRUE
1 (0.96),3 (0.88),1 (0.92),1 (0.76),1 (0.8),1 (0.88),1 (0.96),2 (0.84),2 (0.84),1 (0.76),2 (0.88),2 (0.8),1 (0.88),4 (0.88),1 (0.6),5,MISTRAL,"(1,)",MISTRAL,FALSE,FALSE
2 (0.72),4 (0.92),2 (0.84),3 (0.72),1 (0.84),1 (0.72),1 (0.84),1 (0.76),1 (0.76),0 (0.76),0 (0.8),0 (0.72),1 (0.68),1 (0.72),2 (0.84),2,XLNET,"(1,)",XLNET,FALSE,TRUE
2 (0.72),1 (0.64),2 (0.8),1 (0.6),2 (0.88),2 (0.88),1 (0.76),1 (0.92),2 (0.8),2 (0.88),2 (0.76),2 (0.72),3 (0.8),2 (0.8),2 (0.96),0,DistilBERT,"(1,)",DistilBERT,FALSE,FALSE
1 (0.8),4 (0.76),4 (0.68),4 (0.64),4 (0.88),4 (0.76),5 (0.56),4 (0.64),4 (0.64),5 (0.68),4 (0.52),4 (1.0),4 (0.52),4 (0.68),4 (0.84),5,"RoBERTa,XLNET","(4, 4)",RoBERTa,FALSE,TRUE
1 (0.92),3 (0.72),1 (0.64),3 (0.68),1 (0.8),3 (0.8),2 (0.88),4 (0.84),1 (0.76),3 (0.6),1 (0.76),3 (0.96),2 (0.88),1 (0.8),1 (0.84),0,LLAMA,"(3,)",LLAMA,FALSE,FALSE
4 (0.68),3 (0.6),5 (0.8),3 (0.92),1 (0.84),3 (0.84),4 (0.88),4 (0.88),4 (0.84),5 (0.88),3 (0.68),5 (0.76),4 (0.84),4 (0.76),3 (0.72),1,BART,"(3,)",BART,FALSE,TRUE
3 (1.0),5 (0.88),3 (0.76),5 (0.88),4 (0.88),1 (0.76),1 (0.76),3 (0.72),3 (0.84),3 (0.88),3 (0.84),3 (0.72),1 (0.84),4 (0.8),3 (0.8),4,"Fasttext,W2V","(3, 3)",Fasttext,FALSE,TRUE
1 (0.84),1 (0.92),0 (0.88),3 (0.84),1 (0.84),2 (0.92),2 (0.8),1 (0.84),2 (0.76),1 (0.92),1 (0.6),1 (0.8),3 (0.8),2 (0.96),2 (0.84),1,RoBERTa,"(1,)",RoBERTa,TRUE,TRUE
3 (0.84),0 (0.84),1 (0.76),3 (0.64),4 (0.8),3 (0.84),4 (0.76),4 (0.88),4 (0.92),4 (0.8),4 (0.8),1 (0.84),1 (0.84),1 (0.88),3 (0.92),4,DistilBERT,"(3,)",DistilBERT,FALSE,TRUE
3 (0.76),3 (0.72),2 (0.88),3 (0.72),1 (0.8),1 (0.84),3 (0.68),0 (0.88),5 (0.96),1 (0.56),5 (0.88),0 (0.92),0 (0.8),3 (0.72),1 (0.88),5,LLAMA,"(1,)",LLAMA,FALSE,TRUE
2 (0.84),3 (0.76),1 (0.8),1 (0.92),1 (0.96),0 (0.88),1 (0.8),1 (0.88),1 (0.92),2 (0.72),3 (0.6),1 (0.72),2 (0.72),1 (0.72),2 (0.88),4,RoBERTa,"(3,)",RoBERTa,FALSE,FALSE
1 (0.72),3 (0.84),5 (0.8),3 (0.76),1 (0.88),3 (0.72),4 (0.88),3 (0.72),5 (0.84),2 (0.76),4 (0.88),3 (0.76),4 (0.84),4 (0.8),4 (0.76),5,"ALBERT,ELMO,Fasttext","(1, 3, 3)",ELMO,FALSE,TRUE
